#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,http://ds.iris.edu
TA|N25K|61.6061|-144.5982|1087.0|Chitina, Valdez-Cordova, AK, USA|2014-10-01T00:00:00|2020-04-25T23:59:59
YG|DEN1|63.0466|-145.908401|951.0|Denali HW 1|2016-06-08T00:00:00|2018-08-11T23:59:59
YG|DEN3|63.048698|-146.832901|992.0|Denali HW 3|2016-06-06T00:00:00|2018-08-11T23:59:59
YG|DEN4|63.171001|-147.543503|841.0|Denali HW 4|2016-06-06T00:00:00|2018-08-11T23:59:59
YG|DEN5|63.297001|-148.105194|814.0|Denali HW 5|2016-06-06T00:00:00|2018-08-11T23:59:59
YG|GLN1|62.096199|-146.043594|702.0|Glenn HW 1|2016-06-05T00:00:00|2018-08-11T23:59:59
YG|GLN2|62.060101|-146.486496|770.0|Glenn HW 2|2016-06-02T00:00:00|2018-08-11T23:59:59
YG|GLN3|61.987202|-146.953705|814.0|Glenn HW 3|2016-06-04T00:00:00|2018-08-11T23:59:59
YG|GLN4|61.789501|-147.679596|689.0|Richardson HW 1|2016-06-03T00:00:00|2018-08-11T23:59:59
YG|LKLO|62.247398|-146.525497|807.0|Lake Louise|2016-06-04T00:00:00|2018-08-11T23:59:59
YG|MCR1|61.715698|-144.895203|444.0|McCarthy Road 1|2016-06-12T00:00:00|2018-08-11T23:59:59
YG|MCR2|61.4991|-144.039307|425.0|McCarthy Road 2|2016-06-10T00:00:00|2018-08-11T23:59:59
YG|MCR3|61.417599|-143.697998|485.0|McCarthy Road 3|2016-06-11T00:00:00|2018-08-11T23:59:59
YG|MCR4|61.3629|-143.466705|455.0|McCarthy Road 4|2016-06-10T00:00:00|2018-08-11T23:59:59
YG|NEB1|62.622799|-143.713501|795.0|Nebesna Road 1|2016-06-02T00:00:00|2018-08-11T23:59:59
YG|NEB2|62.565399|-143.449203|971.0|Nebesna Road 2|2016-06-02T00:00:00|2018-08-11T23:59:59
YG|NEB3|62.518398|-143.1996|997.0|Nebesna Road 3|2016-06-01T00:00:00|2018-08-11T23:59:59
YG|RH01|63.6483|-145.875595|605.0|Richardson HW 1|2016-06-07T00:00:00|2018-08-11T23:59:59
YG|RH02|63.233398|-145.6259|990.0|Richardson HW 2|2017-06-08T00:00:00|2018-08-11T23:59:59
YG|RH03|62.833401|-145.470993|909.0|Richardson HW 3|2016-06-08T00:00:00|2018-08-11T23:59:59
YG|RH04|62.628601|-145.456207|725.0|Richardson HW 4|2016-06-05T00:00:00|2018-08-11T23:59:59
YG|RH05|62.410599|-145.388199|585.0|Richardson HW 5|2016-06-04T00:00:00|2018-08-11T23:59:59
YG|RH06|62.269699|-145.405106|508.0|Richardson HW 6|2016-06-05T00:00:00|2018-08-11T23:59:59
YG|RH07|61.950001|-145.381699|469.0|Richardson HW 7|2016-06-11T00:00:00|2018-08-11T23:59:59
YG|RH08|61.837002|-145.221603|490.0|Richardson HW 1|2016-06-11T00:00:00|2018-08-11T23:59:59
YG|RH09|61.700901|-145.184601|648.0|Richardson HW 9|2016-06-11T00:00:00|2017-06-12T23:59:59
YG|RH10|61.5732|-145.225601|602.0|Richardson HW 10|2016-06-11T00:00:00|2018-08-11T23:59:59
YG|RH11|61.401402|-145.194702|528.0|Richardson HW 11|2016-06-14T00:00:00|2018-08-11T23:59:59
YG|RH12|61.239799|-145.353195|415.0|Richardson HW 12|2016-06-13T00:00:00|2018-08-11T23:59:59
YG|RH13|61.193401|-145.574097|528.0|Richardson HW 13|2016-06-14T00:00:00|2018-08-11T23:59:59
YG|RH14|61.061699|-145.936707|152.0|Richardson HW 14|2016-06-14T00:00:00|2018-08-11T23:59:59
YG|RH15|61.1012|-146.212204|46.0|Richardson HW 15|2016-06-15T00:00:00|2018-08-11T23:59:59
YG|TOK1|62.483898|-144.827896|572.0|Tok HW 1|2016-05-31T00:00:00|2018-08-11T23:59:59
YG|TOK2|62.661999|-144.450607|654.0|Tok HW 2|2016-06-01T00:00:00|2018-08-11T23:59:59
YG|TOK3|62.7187|-144.069397|832.0|Tok HW 3|2016-06-04T00:00:00|2018-08-11T23:59:59
YG|TOK4|62.8391|-143.706894|757.0|Tok HW 4|2016-06-03T00:00:00|2018-08-11T23:59:59
YG|TOK5|63.2061|-143.047104|575.0|Tok HW 5|2016-06-08T00:00:00|2018-08-11T23:59:59
YH|00A|63.267048|-145.41275|1460.0|Gulkana Glacier, AK, USA|2017-09-08T00:00:00|2017-09-24T23:59:59
YH|00D|63.267048|-145.41275|1460.0|Gulkana Glacier, AK, USA|2017-09-08T00:00:00|2017-09-24T23:59:59
YH|01AG|63.267048|-145.41275|1460.0|Gulkana Glacier, AK, USA|2017-09-08T00:00:00|2017-09-24T23:59:59
YH|01AR|63.267048|-145.41275|1460.0|Gulkana Glacier, AK, USA|2017-09-08T00:00:00|2017-09-24T23:59:59
YH|E2AG|63.267048|-145.41275|1460.0|Gulkana Glacier, AK, USA|2017-09-08T00:00:00|2017-09-24T23:59:59
YH|E2AR|63.267048|-145.41275|1460.0|Gulkana Glacier, AK, USA|2017-09-08T00:00:00|2017-09-24T23:59:59
YH|E3A|63.267048|-145.41275|1460.0|Gulkana Glacier, AK, USA|2017-09-08T00:00:00|2017-09-24T23:59:59
YH|E3B|63.267048|-145.41275|1460.0|Gulkana Glacier, AK, USA|2017-09-08T00:00:00|2017-09-24T23:59:59
YH|E3C|63.267048|-145.41275|1460.0|Gulkana Glacier, AK, USA|2017-09-08T00:00:00|2017-09-24T23:59:59
YH|N2A|63.267048|-145.41275|1460.0|Gulkana Glacier, AK, USA|2017-09-08T00:00:00|2017-09-24T23:59:59
YH|N3AG|63.267048|-145.41275|1460.0|Gulkana Glacier, AK, USA|2017-09-08T00:00:00|2017-09-24T23:59:59
YH|N3AR|63.267048|-145.41275|1460.0|Gulkana Glacier, AK, USA|2017-09-08T00:00:00|2017-09-24T23:59:59
YH|N3B|63.267048|-145.41275|1460.0|Gulkana Glacier, AK, USA|2017-09-08T00:00:00|2017-09-24T23:59:59
YH|N3C|63.267048|-145.41275|1460.0|Gulkana Glacier, AK, USA|2017-09-08T00:00:00|2017-09-24T23:59:59
YH|S2A|63.267048|-145.41275|1460.0|Gulkana Glacier, AK, USA|2017-09-08T00:00:00|2017-09-24T23:59:59
YH|S3AG|63.267048|-145.41275|1460.0|Gulkana Glacier, AK, USA|2017-09-08T00:00:00|2017-09-24T23:59:59
YH|S3AR|63.267048|-145.41275|1460.0|Gulkana Glacier, AK, USA|2017-09-08T00:00:00|2017-09-24T23:59:59
YH|S3B|63.267048|-145.41275|1460.0|Gulkana Glacier, AK, USA|2017-09-08T00:00:00|2017-09-24T23:59:59
YH|S3C|63.267048|-145.41275|1460.0|Gulkana Glacier, AK, USA|2017-09-08T00:00:00|2017-09-24T23:59:59
YH|W2AG|63.267048|-145.41275|1460.0|Gulkana Glacier, AK, USA|2017-09-08T00:00:00|2017-09-24T23:59:59
YH|W2AR|63.267048|-145.41275|1460.0|Gulkana Glacier, AK, USA|2017-09-08T00:00:00|2017-09-24T23:59:59
YH|W3A|63.267048|-145.41275|1460.0|Gulkana Glacier, AK, USA|2017-09-08T00:00:00|2017-09-24T23:59:59
YH|W3B|63.267048|-145.41275|1460.0|Gulkana Glacier, AK, USA|2017-09-08T00:00:00|2017-09-24T23:59:59
YH|W3C|63.267048|-145.41275|1460.0|Gulkana Glacier, AK, USA|2017-09-08T00:00:00|2017-09-24T23:59:59
